position x; position y; time
6,355837;-3,34;2,039999
6,521181;-3,34;2,059999
6,551916;-3,34;2,079999
6,747996;-3,34;2,099999
6,874123;-3,34;2,119999
6,944849;-3,34;2,139999
7,109417;-3,34;2,159999
7,145067;-3,342377;2,179999
7,341159;-3,363056;2,199999
7,462358;-3,387059;2,219999
7,539105;-3,407524;2,239999
7,697653;-3,457647;2,259999
7,735133;-3,472639;2,279999
7,932734;-3,559508;2,299999
8,050594;-3,622353;2,319999
8,128873;-3,66932;2,339998
8,285889;-3,771372;2,359998
8,324976;-3,800036;2,379998
8,521183;-3,951764;2,399998
8,522199;-3,952645;2,419998
8,718281;-4,127879;2,439998
8,874125;-4,281176;2,459998
8,854152;-4,308006;2,479998
8,800437;-4,445882;2,499998
8,800405;-4,447461;2,519998
8,797624;-4,608164;2,539998
8,795912;-4,749541;2,559998
8,795713;-4,792996;2,579998
8,795154;-4,992678;2,599998
8,795151;-4,997489;2,619998
8,795036;-5,225226;2,639998
8,795011;-5,416207;2,659998
8,795009;-5,478906;2,679998
8,795003;-5,737776;2,699998
8,795003;-5,74924;2,719998
8,795002;-6,042566;2,739998
8,795002;-6,278952;2,759998
6,943382;-3,34;2,779998
6,949264;-3,34;2,799998
6,95033;-3,34;2,819998
6,979386;-3,34;2,839998
7,01397;-3,34;2,859998
7,030946;-3,34;2,879998
7,096323;-3,34;2,899998
7,102799;-3,34;2,919998
7,197218;-3,346188;2,939998
7,276715;-3,363529;2,959998
7,309771;-3,37425;2,979998
7,427695;-3,418431;2,999998
7,438024;-3,423235;3,019998
7,583187;-3,494783;3,039998
7,698284;-3,559608;3,059998
7,745951;-3,588941;3,079998
7,908087;-3,692941;3,099998
7,923351;-3,703468;3,119998
8,116035;-3,840468;3,139998
8,257107;-3,951764;3,159998
8,312124;-3,999446;3,179998
8,492401;-4,163529;3,199998
8,509662;-4,180789;3,219998
8,708963;-4,386686;3,239998
8,845343;-4,539999;3,259998
8,825221;-4,585266;3,279998
8,796794;-4,731154;3,299998
8,796609;-4,750287;3,319998
8,79537;-4,939888;3,339998
8,795124;-5,084096;3,359998
8,795087;-5,151774;3,379997
8,795021;-5,358605;3,399997
8,795019;-5,384577;3,419997
8,795007;-5,639539;3,439997
8,795004;-5,829194;3,459997
8,795003;-5,92169;3,479997
8,795002;-6,182135;3,499997
8,795002;-6,220269;3,519997
6,943382;-3,34;3,539997
6,949264;-3,34;3,559997
6,956817;-3,34;3,579997
6,984558;-3,34;3,599997
6,99145;-3,34;3,619997
7,047542;-3,34;3,639997
7,096323;-3,34;3,659997
7,127504;-3,34;3,679997
7,210048;-3,347843;3,699997
7,227096;-3,351854;3,719997
7,343633;-3,385232;3,739997
7,427695;-3,418431;3,759997
7,477365;-3,441534;3,779997
7,602205;-3,504706;3,799997
